experiment,n_features,accuracy,precision_w,recall_w,f1_weighted,f1_macro,delta_accuracy,delta_f1_weighted,delta_f1_macro
BEFORE_leakage_removal,47,0.9964304080830081,0.9962983179596893,0.9964304080830081,0.9963434248743708,0.9128261704280209,0.0,0.0,0.0
AFTER_leakage_removal,46,0.9962085690373194,0.9961050012926828,0.9962085690373194,0.9961458009536607,0.9108353405406465,-0.00022183904568873203,-0.00019762392071009938,-0.0019908298873744235
